journal_title	domain
The Gerontologist	Unknown or multidisciplinary
World Psychiatry	SSH
Strad Research	Unknown or multidisciplinary
BDJ Team	Unknown or multidisciplinary
Voprosy Filosofii	Unknown or multidisciplinary
The Lancet	Unknown or multidisciplinary
New Trends and Issues Proceedings on Humanities and Social Sciences	SSH
Journal of Humanistic Psychology	SSH
Habitus	Unknown or multidisciplinary
Research Outreach	Unknown or multidisciplinary
Psychology in Education	SSH
Človek a spoločnosť	Unknown or multidisciplinary
BMJ	Unknown or multidisciplinary
Social Research: An International Quarterly	SSH
Spiritus: A Journal of Christian Spirituality	Unknown or multidisciplinary
Applied Psychology Research	SSH
Social Economy & Policy Studies	SSH
Nesne Psikoloji Dergisi	SSH
Case Medical Research	STEM
Case Medical Research	STEM
Nurse Leader	STEM
Habitus	Unknown or multidisciplinary
Cyprus Turkish Journal of Psychiatry & Psychology	SSH
Spiritus: A Journal of Christian Spirituality	Unknown or multidisciplinary
Habitus	Unknown or multidisciplinary
Group	Unknown or multidisciplinary
BCP Social Sciences & Humanities	SSH
AMA Journal of Ethics	Unknown or multidisciplinary
Sovremennye issledovaniya sotsialnykh problem	Unknown or multidisciplinary
Innovation in Aging	SSH
Indian Journal of Psychiatry	SSH
Neuron	STEM
The Lancet	Unknown or multidisciplinary
Universum:Psychology & education	SSH
Habitus	Unknown or multidisciplinary
Philosophy Today	SSH
Norsk Epidemiologi	STEM
Romanic Review	Unknown or multidisciplinary
JAMA	Unknown or multidisciplinary
Psychology	SSH
Japanese Journal of Health and Human Ecology	STEM
The Journals of Gerontology: Series B	Unknown or multidisciplinary
Journal of Medical Science And clinical Research	STEM
International Journal of Research Publication and Reviews	Unknown or multidisciplinary
International Journal of Research Publication and Reviews	Unknown or multidisciplinary
Frontiers in Psychiatry	SSH
Assessment	Unknown or multidisciplinary
Journal of Affective Disorders	STEM
European Psychiatry	SSH
Nursing Management	STEM
Science Trends	STEM
Emerging Science Journal	STEM
JAMA	Unknown or multidisciplinary
Nature Reviews Disease Primers	STEM
International Psychogeriatrics	SSH
International Journal of Culture and Mental Health	SSH
Indian Journal of Psychiatry	SSH
The Gerontologist	Unknown or multidisciplinary
Case Medical Research	STEM
Neurology Today	STEM
Cyprus Turkish Journal of Psychiatry & Psychology	SSH
Colloquia	Unknown or multidisciplinary
Peer Community in Evolutionary Biology	SSH
Polish Psychological Bulletin	SSH
Mankind	Unknown or multidisciplinary
SOCIAL INQUIRY INTO WELL-BEING	SSH
NeuroRegulation	STEM
International Journal of Women’s Health Care	STEM
Veterinary Record	STEM
Innovation in Aging	SSH
Society	SSH
Case Medical Research	STEM
Innovation in Aging	SSH
The Hearing Journal	Unknown or multidisciplinary
Bioethics	Unknown or multidisciplinary
The Gerontologist	Unknown or multidisciplinary
The Gerontologist	Unknown or multidisciplinary
Doxa	Unknown or multidisciplinary
Scientific American Mind	SSH
Nursing and Palliative Care	STEM
İlköğretim Online	Unknown or multidisciplinary
Working with Older People	Unknown or multidisciplinary
Rehabilitation Nursing	STEM
Journal of International Students	Unknown or multidisciplinary
Academic Journal of Business & Management	STEM
Theory & Event	SSH
BMJ	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Acta Psychopathologica	SSH
Analysis	Unknown or multidisciplinary
SSRN Electronic Journal	Unknown or multidisciplinary
Neurology Today	STEM
Philosophy Today	SSH
Cureus	Unknown or multidisciplinary
The Nurse Practitioner	STEM
The Gerontologist	Unknown or multidisciplinary
REVISTA ARGENTINA DE CLINICA PSICOLOGICA	SSH
The Gerontologist	Unknown or multidisciplinary
Jurnal Media dan Komunikasi Indonesia	SSH
Bioethica Forum	Unknown or multidisciplinary
Adolescence	Unknown or multidisciplinary
Philosophy, Psychiatry, & Psychology	SSH
Continuum	Unknown or multidisciplinary
Independent Nurse	STEM
Open Journal of Depression	SSH
Scientific Reports	STEM
Health & Social Care in the Community	SSH
BMC Geriatrics	STEM
Short Film Studies	SSH
New England Review	Unknown or multidisciplinary
Antipodes	Unknown or multidisciplinary
Analiza i Egzystencja	Unknown or multidisciplinary
Shanlax International Journal of Education	SSH
Innovation in Aging	SSH
The Gerontologist	Unknown or multidisciplinary
International Journal of Integrated Care	Unknown or multidisciplinary
Vangmaya वाङ्मय	Unknown or multidisciplinary
Topoi	Unknown or multidisciplinary
AMA Journal of Ethics	Unknown or multidisciplinary
Heart and Mind	SSH
British Journal of Oral and Maxillofacial Surgery	Unknown or multidisciplinary
Social & Cultural Geography	SSH
Whitehall Papers	Unknown or multidisciplinary
Scientific American Mind	SSH
Journal of Experimental Biology	STEM
Sriwijaya Journal of Ophthalmology	Unknown or multidisciplinary
Examines in Physical Medicine & Rehabilitation	STEM
European Journal of Public Health	STEM
Topoi	Unknown or multidisciplinary
AJN, American Journal of Nursing	STEM
Academia Letters	Unknown or multidisciplinary
Applied Psychology: Health and Well-Being	SSH
International Journal of Environmental Research and Public Health	STEM
Scientific American Mind	SSH
Case Medical Research	STEM
The Gerontologist	Unknown or multidisciplinary
European Journal of Public Health	STEM
The Gerontologist	Unknown or multidisciplinary
Journal of American History	SSH
Paedagogia Christiana	Unknown or multidisciplinary
SSRN Electronic Journal	Unknown or multidisciplinary
Interlitteraria	Unknown or multidisciplinary
BMJ	Unknown or multidisciplinary
Verbum et Ecclesia	Unknown or multidisciplinary
Journal of Psychological Therapies	SSH
Psychotherapy Section Review	SSH
Theatre Journal	Unknown or multidisciplinary
PLOS ONE	Unknown or multidisciplinary
Journal of Psychosocial Studies	SSH
Scientific American	STEM
Psychology	SSH
PJPPRP	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
International Journal for Equity in Health	STEM
Innovation in Aging	SSH
The Gerontologist	Unknown or multidisciplinary
Психолог	Unknown or multidisciplinary
Nature	Unknown or multidisciplinary
Scientia et Fides	Unknown or multidisciplinary
Nursing	STEM
The Lancet	Unknown or multidisciplinary
Tydskrif vir letterkunde	Unknown or multidisciplinary
Creativity. Theories – Research - Applications	SSH
The Gerontologist	Unknown or multidisciplinary
American Psychologist	SSH
Nutrix Journal	Unknown or multidisciplinary
Emerging Science Journal	STEM
TheScienceBreaker	Unknown or multidisciplinary
Monthly Review	Unknown or multidisciplinary
SSRN Electronic Journal	Unknown or multidisciplinary
Scientific American	STEM
Policy Quarterly	Unknown or multidisciplinary
Education, Sustainability & Society	SSH
Sriwijaya Journal of Ophthalmology	Unknown or multidisciplinary
SSRN Electronic Journal	Unknown or multidisciplinary
Journal of Visualized Experiments	Unknown or multidisciplinary
SSRN Electronic Journal	Unknown or multidisciplinary
Rural Theology	SSH
The Gerontologist	Unknown or multidisciplinary
Listening	Unknown or multidisciplinary
BMJ	Unknown or multidisciplinary
Journal of Affective Disorders	STEM
Personality and Individual Differences	Unknown or multidisciplinary
Social Indicators Research	SSH
JAPAN ARCHITECTURAL REVIEW	Unknown or multidisciplinary
International Journal of Assessment Tools in Education	SSH
Malaysian Online Journal of Educational Technology	SSH
Alzheimer's & Dementia	STEM
Journal of Dual Diagnosis	Unknown or multidisciplinary
Philology. Issues of Theory and Practice	SSH
History Research Journal	SSH
Choice Reviews Online	Unknown or multidisciplinary
Journal of Mormon History	SSH
Przegląd Wschodnioeuropejski	Unknown or multidisciplinary
INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH	STEM
Asian Journal of Medicine and Health	STEM
Frontiers in Psychology	SSH
Journal of Medical Science And clinical Research	STEM
The International Journal of Aging and Human Development	SSH
Musculoskeletal Care	Unknown or multidisciplinary
The Gerontologist	Unknown or multidisciplinary
Innovation in Aging	SSH
Journal of Sport History	SSH
Assessment	Unknown or multidisciplinary
Journal of Visualized Experiments	Unknown or multidisciplinary
EURASIAN LAW JOURNAL	SSH
Habitus	Unknown or multidisciplinary
Frontiers in Psychology	SSH
Consortium Psychiatricum	SSH
Assessment	Unknown or multidisciplinary
The Gerontologist	Unknown or multidisciplinary
Социодинамика	Unknown or multidisciplinary
Endeavour	Unknown or multidisciplinary
Ukrainian Psychological Journal	SSH
Pedagogical Education in Russia	SSH
Dramatherapy	SSH
TEACH Journal of Christian Education	SSH
Journal of Emergency Nursing	STEM
Social Research Reports	SSH
Practice	Unknown or multidisciplinary
The Gerontologist	Unknown or multidisciplinary
Sustainability	Unknown or multidisciplinary
Nursing Standard	STEM
Sophía	Unknown or multidisciplinary
SALUTE E SOCIETÀ	Unknown or multidisciplinary
Cognition, Communication, Discourse	SSH
Innovation in Aging	SSH
REVISTA ARGENTINA DE CLINICA PSICOLOGICA	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Culture, Medicine and Psychiatry	SSH
Health Psychology	SSH
Psychosomatic Medicine	SSH
Practice Nursing	STEM
Medical Law Review	SSH
Pondicherry Journal of Nursing	STEM
Biomedical Journal of Scientific & Technical Research	STEM
Cyprus Turkish Journal of Psychiatry & Psychology	SSH
Innovation in Aging	SSH
Journal of Educational and Social Research	SSH
The Lancet Psychiatry	SSH
Medicine	STEM
KnE Social Sciences	SSH
Journal of Mood Disorders	SSH
Academicus International Scientific Journal	STEM
Psychology and Behavioral Sciences	SSH
Review of Sociology	SSH
Feminist German Studies	SSH
New Formations	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Psycho Holistic	SSH
PSIKOVIDYA	SSH
Innovation in Aging	SSH
Adolescent Psychiatry	SSH
Open Journal of Depression	SSH
The Gerontologist	Unknown or multidisciplinary
Nature Reviews Genetics	Unknown or multidisciplinary
Journal of Health, Medicine and Nursing	STEM
Molung Educational Frontier	SSH
The Gerontologist	Unknown or multidisciplinary
The Gerontologist	Unknown or multidisciplinary
Topoi	Unknown or multidisciplinary
Journal of Graduate Medical Education	SSH
Informatics	Unknown or multidisciplinary
Feminist Theory	SSH
The Nurse Practitioner	STEM
Forum Kinder- und Jugendsport	Unknown or multidisciplinary
Studia Demograficzne	STEM
International Journal of Indian Psychology	SSH
Zanco Journal of Humanity Sciences	Unknown or multidisciplinary
BMJ	Unknown or multidisciplinary
Research in Psychology and Behavioral Sciences	SSH
Psychology of China	SSH
Psychological Thought	SSH
OBM Geriatrics	STEM
Innovation in Aging	SSH
Habitus	Unknown or multidisciplinary
Structural Chemistry	STEM
Innovation in Aging	SSH
American Journal of Lifestyle Medicine	STEM
Nature Communications	SSH
The Lancet	Unknown or multidisciplinary
Makara Journal of Health Research	STEM
Journal of Social Intervention: Theory and Practice	SSH
Annales Universitatis Mariae Curie-Skłodowska, sectio K – Politologia	SSH
Neuroscience Research	STEM
Innovation in Aging	SSH
Jewish Quarterly	Unknown or multidisciplinary
The Lancet	Unknown or multidisciplinary
Health Psychology	SSH
International Journal of Environmental Research and Public Health	STEM
Palgrave Communications	SSH
Innovation in Aging	SSH
Korean Journal of Early Childhood Education	SSH
The Gerontologist	Unknown or multidisciplinary
Journal of Forensic Psychology	SSH
Indian Journal of Public Health Research & Development	SSH
Всероссийская научно-практическая конференция профессорско-преподавательского состава «Лингвистика и межкультурная коммуникация»	Unknown or multidisciplinary
Case Medical Research	STEM
Choice Reviews Online	Unknown or multidisciplinary
International Journal of Education and Literacy Studies	SSH
BMJ	Unknown or multidisciplinary
Curationis	Unknown or multidisciplinary
Sovremennye issledovaniya sotsialnykh problem	Unknown or multidisciplinary
Innovation in Aging	SSH
The Gerontologist	Unknown or multidisciplinary
SAINS ORGANISASI	Unknown or multidisciplinary
Journal of Gambling Issues	Unknown or multidisciplinary
Developmental Psychology	SSH
Bioethics	Unknown or multidisciplinary
Scientific American	STEM
Black Sea Journal of Health Science	STEM
Akdeniz Kadın Çalışmaları ve Toplumsal Cinsiyet Dergisi	Unknown or multidisciplinary
Psychological Reports	SSH
Scholarly Journal of Psychology and Behavioral Sciences	SSH
Topoi	Unknown or multidisciplinary
Knowledge Management & E-Learning: An International Journal	STEM
Contemporary British History	SSH
Innovation in Aging	SSH
Academia Letters	Unknown or multidisciplinary
The Journal of School Nursing	STEM
International Journal of Indian Psychology	SSH
Applied Linguistics Research Journal	SSH
Proceedings of IMPRS	Unknown or multidisciplinary
Fourth Genre: Explorations in Nonfiction	Unknown or multidisciplinary
Innovation in Aging	SSH
Journal of Geriatric Mental Health	STEM
Mental Health Practice	STEM
SSRN Electronic Journal	Unknown or multidisciplinary
Visnyk of the Lviv University	Unknown or multidisciplinary
Explorations in Media Ecology	SSH
EDMETIC	Unknown or multidisciplinary
The Open Psychology Journal	SSH
Bioethics	Unknown or multidisciplinary
Innovation in Aging	SSH
Advances in Nursing Science	STEM
Topoi	Unknown or multidisciplinary
F1000Research	STEM
Innovation in Aging	SSH
Current Opinion in Psychiatry	SSH
European Journal of Public Health	STEM
Case Medical Research	STEM
Psychology	SSH
Health Promotion International	STEM
Exchanges: The Interdisciplinary Research Journal	Unknown or multidisciplinary
Philosophy Today	SSH
Archives of Epidemiology	STEM
Innovation in Aging	SSH
Clinical Psychiatry News	SSH
European Psychiatry	SSH
Acta Médica Portuguesa	Unknown or multidisciplinary
AJSP: Reviews and Reports	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Journal of Gambling Issues	Unknown or multidisciplinary
BMJ Medicine	STEM
Advances in Geriatric Medicine and Research	STEM
Tourism Management	STEM
New Scientist	Unknown or multidisciplinary
Health and Social Care Chaplaincy	SSH
Journal for ReAttach Therapy and Developmental Diversities	SSH
New Formations	Unknown or multidisciplinary
Psychology of China	SSH
İlköğretim Online	Unknown or multidisciplinary
International Journal of Indian Psychology	SSH
Current Trends in Natural Sciences	STEM
GISAP:Psychological Sciences	SSH
The Gerontologist	Unknown or multidisciplinary
Paedagogia Christiana	Unknown or multidisciplinary
Onco Zine - The International Oncology Network	STEM
The Contemporary Pacific	Unknown or multidisciplinary
Innovation in Aging	SSH
PLOS ONE	Unknown or multidisciplinary
The Journal Of Prevention of Alzheimer's Disease	STEM
Emotion	Unknown or multidisciplinary
SSRN Electronic Journal	Unknown or multidisciplinary
Acta Psychologica Sinica	SSH
Social Cognitive and Affective Neuroscience	SSH
International Journal of Behavioral Development	SSH
Alzheimer's & Dementia	STEM
International Journal of Behavioral Development	SSH
SOCIAL SCIENCES AND HUMANITIES. DOMESTIC AND FOREIGN LITERATURE. SERIES 11: SOCIOLOGY	SSH
Journal of Japanese Language and Literature	SSH
Criticism	Unknown or multidisciplinary
Age and Ageing	SSH
European Neuropsychopharmacology	SSH
Challenges	Unknown or multidisciplinary
Nursing Standard	STEM
The Gerontologist	Unknown or multidisciplinary
Philosophy in Review	SSH
SSRN Electronic Journal	Unknown or multidisciplinary
Psychiatric News	SSH
American Journal of Psychotherapy	SSH
Chronobiology International	STEM
Mental Health Practice	STEM
BMJ	Unknown or multidisciplinary
Science	STEM
Crisis and Emergency Management: Theory and Praxis	SSH
The Journals of Gerontology: Series B	Unknown or multidisciplinary
International Journal of Indian Psychology	SSH
Psychological Reports	SSH
Southwest Philosophy Review	SSH
Innovation in Aging	SSH
CHINESE LITERATURE	SSH
Innovation in Aging	SSH
European Psychiatry	SSH
Consensus	Unknown or multidisciplinary
Journal of Global Postcolonial Studies	SSH
Engineering & Technology	STEM
TED EĞİTİM VE BİLİM	Unknown or multidisciplinary
Short Film Studies	SSH
Academia Letters	Unknown or multidisciplinary
Anthropological Quarterly	SSH
Higher Education Studies	SSH
Journal Human Research in Rehabilitation	Unknown or multidisciplinary
Journal of Research in Special Educational Needs	SSH
SSRN Electronic Journal	Unknown or multidisciplinary
Innovation in Aging	SSH
Journal of Psychiatric Nursing	SSH
Practice Management	STEM
Social Indicators Research	SSH
The Gerontologist	Unknown or multidisciplinary
Gerontechnology	STEM
Innovation in Aging	SSH
Global Research in Higher Education	SSH
Academic Medicine	STEM
Jurnal Neo Konseling	Unknown or multidisciplinary
Mindfulness	SSH
European Psychiatry	SSH
Innovation in Aging	SSH
The Turkish Journal of Geriatrics	STEM
Listening	Unknown or multidisciplinary
Psychopreneur Journal	SSH
KnE Social Sciences	SSH
Topoi	Unknown or multidisciplinary
Journal of Family Research	SSH
L'Encéphale	Unknown or multidisciplinary
Insights on the Depression and Anxiety	SSH
Nature Reviews Psychology	SSH
Adolescent Psychiatry	SSH
Socio-Economic Problems and the State	SSH
Korean Journal of Youth Studies	SSH
The Review of Korean Cultural Studies	SSH
Psychoneuroendocrinology	SSH
Journal of Student Research	Unknown or multidisciplinary
Clinical Nursing Studies	SSH
Bandung Conference Series: Psychology  Science	SSH
Dental Abstracts	STEM
Feminist Studies in English Literature	SSH
EOMUNYEONGU	Unknown or multidisciplinary
Psycho-Educational Research Reviews	SSH
International Journal of Care and Caring	Unknown or multidisciplinary
Psychiatric News	SSH
South African Journal of Education	SSH
European Scientific Journal, ESJ	STEM
PARADIGM OF KNOWLEDGE	Unknown or multidisciplinary
haser	SSH
Journal of Comprehensive Nursing Research and Care	STEM
Acta Psychologica	SSH
Scientific American	STEM
Innovation in Aging	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Civil War Book Review	Unknown or multidisciplinary
SMART MOVES JOURNAL IJELLH	Unknown or multidisciplinary
Innovation in Aging	SSH
Journal of Aging and Geriatric Medicine	SSH
Bandung Conference Series: Psychology  Science	SSH
Общество: социология, психология, педагогика	Unknown or multidisciplinary
Innovation in Aging	SSH
Innovation in Aging	SSH
Journal of Educational Research and Policies	SSH
Innovation in Aging	SSH
The Gerontologist	Unknown or multidisciplinary
Psychoneuroendocrinology	SSH
SSRN Electronic Journal	Unknown or multidisciplinary
Res Publica	Unknown or multidisciplinary
Empati : Jurnal Bimbingan dan Konseling	Unknown or multidisciplinary
Autism	Unknown or multidisciplinary
Journal of Counseling and Gospel	SSH
Dental Abstracts	STEM
Europe’s Journal of Psychology	SSH
Gerontechnology	STEM
Philosophy East and West	SSH
Psikoborneo: Jurnal Ilmiah Psikologi	SSH
Известия Института менеджмента СГЭУ	Unknown or multidisciplinary
Korea Journal of Counseling	SSH
Practice Nursing	STEM
Innovation in Aging	SSH
Innovation in Aging	SSH
The Gerontologist	Unknown or multidisciplinary
Problemy Opiekuńczo-Wychowawcze	Unknown or multidisciplinary
Social welfare : interdisciplinary approach	SSH
Adalya Journal	Unknown or multidisciplinary
Assiut Scientific Nursing Journal	STEM
Innovation in Aging	SSH
Choice Reviews Online	Unknown or multidisciplinary
Kennedy Institute of Ethics Journal	Unknown or multidisciplinary
